CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101349,1,1,2,DIAMOND,464
15647311,Hill,608,Spain,Female,41,1,83808,1,0,1,112543,0,1,3,DIAMOND,456
15619304,Onio,502,France,Female,42,8,159661,3,1,0,113932,1,1,3,DIAMOND,377
15701354,Boni,699,France,Female,39,1,0,2,0,0,93827,0,0,5,GOLD,350
15737888,Mitchell,850,Spain,Female,43,2,125511,1,1,1,79084,0,0,5,GOLD,425
15574012,Chu,645,Spain,Male,44,8,113756,2,1,0,149757,1,1,5,DIAMOND,484
15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10063,0,0,2,SILVER,206
15656148,Obinna,376,Germany,Female,29,4,115047,4,1,0,119347,1,1,2,DIAMOND,282
15792365,He,501,France,Male,44,4,142051,2,0,1,74941,0,0,3,GOLD,251
15592389,H?,684,France,Male,27,2,134604,1,1,1,71726,0,0,3,GOLD,342
15767821,Bearce,528,France,Male,31,6,102017,2,0,0,80181,0,0,3,GOLD,264
15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390,0,0,3,GOLD,249
15632264,Kay,476,France,Female,34,10,0,2,1,0,26261,0,0,3,SILVER,119
15691483,Chin,549,France,Female,25,5,0,2,0,0,190858,0,0,3,PLATINUM,549
15600882,Scott,635,Spain,Female,35,7,0,2,1,1,65952,0,0,2,GOLD,318
15643966,Goforth,616,Germany,Male,45,3,143129,2,0,1,64327,0,0,5,GOLD,308
15737452,Romeo,653,Germany,Male,58,1,132603,1,1,0,5098,1,0,2,SILVER,163
15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,14406,0,0,3,SILVER,544
15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,158685,0,0,3,PLATINUM,732
15568982,Hao,726,France,Female,24,6,0,2,1,1,54724,0,0,4,GOLD,477
15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886,0,0,3,PLATINUM,568
15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555,0,0,2,DIAMOND,336
15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118914,1,1,2,DIAMOND,887
15725737,Mosman,669,France,Male,46,3,0,2,0,1,8488,0,0,2,SILVER,665
15625047,Yen,846,France,Female,38,5,0,1,1,1,187616,0,0,3,PLATINUM,225
15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508,0,0,3,PLATINUM,659
15736816,Young,756,Germany,Male,36,2,136816,1,1,1,170042,0,0,5,DIAMOND,236
15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433,0,0,4,PLATINUM,448
15728693,McWilliams,574,Germany,Female,43,3,141349,1,1,1,100187,0,0,5,DIAMOND,499
15656300,Lucciano,411,France,Male,29,0,59697,2,1,1,53483,0,0,2,GOLD,343
15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469,1,1,3,DIAMOND,298
15706552,Odinakachukwu,533,France,Male,36,7,85312,1,0,1,156732,0,0,5,SILVER,628
15750181,Sanderson,553,Germany,Male,41,9,110113,2,0,0,81899,0,0,3,GOLD,611
15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34411,0,0,2,SILVER,922
15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033,0,0,5,PLATINUM,276
15794171,Lombardo,475,France,Female,45,0,134264,1,1,0,27823,1,1,1,DIAMOND,877
15788448,Watson,490,Spain,Male,31,3,145260,1,0,1,114067,0,0,4,SILVER,471
15729599,Lorenzo,804,Spain,Male,33,7,76549,1,0,1,98453,0,0,2,GOLD,994
15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40813,0,0,3,GOLD,944
15585768,Cameron,582,Germany,Male,41,6,70349,2,0,1,178074,0,0,5,GOLD,419
15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154,0,0,4,DIAMOND,545
15738148,Clarke,465,France,Female,51,8,122522,1,0,0,181298,1,1,5,SILVER,828
15687946,Osborne,556,France,Female,61,2,117419,1,1,1,94154,0,0,3,PLATINUM,789
15755196,Lavine,834,France,Female,49,2,131395,1,0,0,194366,1,1,2,GOLD,567
15684171,Bianchi,660,Spain,Female,61,5,155931,1,1,1,158338,0,0,1,PLATINUM,884
15754849,Tyler,776,Germany,Female,32,4,109421,2,1,1,126517,0,0,1,SILVER,296
15602280,Martin,829,Germany,Female,27,9,112046,1,1,1,119708,1,1,3,DIAMOND,779
15771573,Okagbue,637,Germany,Female,39,9,137844,1,1,1,117623,1,1,1,SILVER,730
15766205,Yin,550,Germany,Male,38,2,103391,1,0,1,90878,0,0,3,DIAMOND,960
15771873,Buccho,776,Germany,Female,37,2,103769,2,1,0,194099,0,0,1,SILVER,268
15616550,Chidiebele,698,Germany,Male,44,10,116363,2,1,0,198059,0,0,4,SILVER,829
15768193,Trevisani,585,Germany,Male,36,5,146051,2,0,0,86425,0,0,3,SILVER,665
15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978,0,0,3,GOLD,982
15702298,Parkhill,655,Germany,Male,41,8,125562,1,0,0,164041,1,1,3,SILVER,343
15569590,Yoo,601,Germany,Male,42,1,98496,1,1,0,40015,1,1,2,DIAMOND,225
15760861,Phillipps,619,France,Male,43,1,125212,1,1,1,113410,0,0,5,SILVER,657
15630053,Tsao,656,France,Male,45,5,127864,1,1,0,87108,0,0,2,PLATINUM,221
15647091,Endrizzi,725,Germany,Male,19,0,75888,1,0,0,45614,0,0,2,PLATINUM,406
15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643,1,1,5,SILVER,549
15804771,Velazquez,614,France,Male,51,4,40686,1,1,1,46775,0,0,4,PLATINUM,954
15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84510,0,0,4,GOLD,823
15773469,Clark,687,Germany,Female,27,9,152329,2,0,0,126495,0,0,5,DIAMOND,769
15702014,Jeffrey,555,Spain,Male,33,1,56085,2,0,0,178798,0,0,5,PLATINUM,481
15751208,Pirozzi,684,Spain,Male,56,8,78707,1,1,1,99398,0,0,4,SILVER,903
15592461,Jackson,603,Germany,Male,26,4,109166,1,1,1,92841,0,0,3,PLATINUM,882
15789484,Hammond,751,Germany,Female,36,6,169831,2,1,1,27758,0,1,5,GOLD,379
15696061,Brownless,581,Germany,Female,34,1,101633,1,1,0,110432,0,1,3,PLATINUM,469
15641582,Chibugo,735,Germany,Male,43,10,123180,2,1,1,196673,0,1,3,PLATINUM,683
15638424,Glauert,661,Germany,Female,35,5,150726,2,0,1,113657,0,1,1,GOLD,770
15755648,Pisano,675,France,Female,21,8,98373,1,1,0,18203,0,0,5,SILVER,985
15703793,Konovalova,738,Germany,Male,58,2,133745,4,1,0,28374,1,1,4,GOLD,725
15620344,McKee,813,France,Male,29,6,0,1,1,0,33954,0,0,3,PLATINUM,259
15812518,Palermo,657,Spain,Female,37,0,163607,1,0,1,44204,0,0,2,GOLD,979
15779052,Ballard,604,Germany,Female,25,5,157781,2,1,1,58427,0,0,2,SILVER,988
15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562,0,0,2,PLATINUM,833
15780961,Cavenagh,735,France,Female,21,1,178718,2,1,0,22388,0,0,1,PLATINUM,527
15614049,Hu,664,France,Male,55,8,0,2,1,1,139162,0,0,5,SILVER,220
15662085,Read,678,France,Female,32,9,0,1,1,1,148211,0,0,4,GOLD,983
15575185,Bushell,757,Spain,Male,33,5,77253,1,0,1,194240,0,0,3,SILVER,582
15803136,Postle,416,Germany,Female,41,10,122190,2,1,0,98302,0,0,3,SILVER,281
15706021,Buley,665,France,Female,34,1,96646,2,0,0,171414,0,0,3,DIAMOND,798
15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458,1,1,5,SILVER,917
15641732,Mills,543,France,Female,36,3,0,2,0,0,26020,0,0,2,DIAMOND,255
15701164,Onyeorulu,506,France,Female,34,4,90308,1,1,1,159235,0,0,4,SILVER,511
15738751,Beit,493,France,Female,46,4,0,2,1,0,1908,0,0,1,SILVER,498
15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114676,0,0,5,DIAMOND,651
15762418,Gant,750,Spain,Male,22,3,121682,1,1,0,128643,1,1,2,SILVER,852
15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869,0,0,1,DIAMOND,807
15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251,1,1,3,PLATINUM,470
15767954,Osborne,635,Germany,Female,28,3,81624,2,1,1,156791,0,0,1,DIAMOND,659
15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205,1,1,3,DIAMOND,752
15731511,Ritchie,808,France,Male,45,7,118627,2,1,0,147132,0,0,1,SILVER,559
15809248,Cole,524,France,Female,36,10,0,2,1,0,109615,0,0,2,GOLD,375
15640635,Capon,769,France,Male,29,8,0,2,1,1,172291,0,0,2,DIAMOND,411
15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982,0,0,4,DIAMOND,722
15699461,Fiorentini,515,Spain,Male,35,10,176274,1,0,1,121278,0,0,1,GOLD,231
15738721,Graham,773,Spain,Male,41,9,102827,1,0,1,64595,0,0,5,DIAMOND,488
15693683,Yuille,814,Germany,Male,29,8,97086,2,1,1,197276,0,0,2,GOLD,965
15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645,0,0,4,SILVER,289
15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534,0,0,1,PLATINUM,449
